"Source","d13C","d15N","Concd13C","Concd15N","Farm"
"Rice_herb",-24.59,7.78,50.88,9.57,"MO_2017"
"Rice_herb",-24.29,5.24,49.62,10.94,"MO_2017"
"Rice_herb",-26.58,7.87,51.42,10.59,"MO_2017"
"Rice_herb",-28.4,8.88,44.89,9.82,"MO_2017"
"Rice_herb",-25.3,6,49.62,10.88,"MO_2017"
"Rice_herb",-27.89,7.44,51.77,9.61,"MO_2017"
"Rice_herb",-26.23,7.49,51.52,9.92,"MO_2017"
"Rice_herb",-13.51,8.34,48.87,11.64,"MC_2017"
"Rice_herb",-26.53,4.38,52.57,10.55,"MC_2017"
"Rice_herb",-23.3,3.22,53.16,9.69,"MC_2017"
"Rice_herb",-28.82,6.91,52.69,9.67,"MC_2017"
"Rice_herb",-28.76,2.65,52.53,10.25,"GC_2017"
"Rice_herb",-28.9,5.25,55.81,9.02,"GC_2017"
"Rice_herb",-28.63,3.76,52.15,10.11,"GC_2017"
"Rice_herb",-28.5,9.79,49.94,10.88,"MO_2017"
"Rice_herb",-29.65,8.95,54.47,9.01,"MO_2017"
"Rice_herb",-29.52,9.58,53.72,9.52,"MO_2017"
"Rice_herb",-29.51,9.02,53.68,8.97,"MO_2017"
"Rice_herb",-16.43,4.69,53.25,10.32,"MO_2017"
"Rice_herb",-24.58,6.89,50.5,10.5,"MO_2017"
"Rice_herb",-25.85,9.05,50.32,11.51,"MO_2017"
"Rice_herb",-29,7.9,47.48,8.78,"MO_2017"
"Rice_herb",-30.67,7.04,46.4,7.45,"MC_2017"
"Rice_herb",-30.86,6.63,51.2,8.31,"MC_2017"
"Rice_herb",-31.22,6.98,49.91,8.82,"MC_2017"
"Rice_herb",-30.42,6.63,49.55,7.24,"MC_2017"
"Rice_herb",-29.31,6.9,48.76,11.04,"MC_2017"
"Rice_herb",-23.47,4.85,51.78,10.14,"MC_2017"
"Rice_herb",-29.02,6.96,49.81,11.23,"MC_2017"
"Rice_herb",-29.68,4.94,54.34,9.19,"MC_2017"
"Rice_herb",-29.54,5.26,50.37,10.34,"MC_2017"
"Rice_herb",-30.68,6.33,56.47,7.63,"MC_2017"
"Rice_herb",-20.65,2.67,50.29,10.68,"MC_2017"
"Rice_herb",-17.07,3.88,49.66,10.83,"MC_2017"
"Rice_herb",-29.67,6.42,53.63,9.55,"GO_2017"
"Rice_herb",-24.72,4.35,53.19,9.18,"GO_2017"
"Rice_herb",-28.89,5.41,54.41,9.02,"GO_2017"
"Rice_herb",-28.79,5.53,52.39,10.21,"GO_2017"
"Rice_herb",-28.24,5.72,53.61,9.59,"GO_2017"
"Rice_herb",-28.06,5.6,52.23,10.31,"GO_2017"
"Rice_herb",-29.82,7.48,48.43,8.67,"GO_2017"
"Rice_herb",-28.84,2.12,51.69,9.76,"GC_2017"
"Rice_herb",-29.03,2.11,51.32,9.73,"GC_2017"
"Rice_herb",-28.85,1.8,52.33,9.52,"GC_2017"
"Rice_herb",-29,1.64,28.6,5.03,"GC_2017"
"Rice_herb",-29.67,6.68,52.07,10.14,"GC_2017"
"Rice_herb",-28.98,2.71,52.58,8.69,"GC_2017"
"Rice_herb",-29.11,2.9,52.88,9.37,"GC_2017"
"Rice_herb",-29.49,3.47,53.9,8.93,"GC_2017"
"Rice_herb",-28.75,2.81,52.87,8.85,"GC_2017"
"Rice_herb",-25.13,9.79,52.68,9.83,"OO_2017"
"Rice_herb",-29.79,5.94,53.41,8.49,"OC_2017"
"Rice_herb",-29.92,5.8,54.17,8.93,"OC_2017"
"Rice_herb",-29.81,5.62,52.65,8.74,"OC_2017"
"Rice_herb",-29.55,6.22,52.44,9.03,"OC_2017"
"Rice_herb",-29.36,3.33,51.88,9.23,"MO_2017"
"Rice_herb",-13.45,0.75,50.95,11.06,"MO_2017"
"Rice_herb",-26.7,9.38,56.26,8.61,"MO_2017"
"Rice_herb",-30.52,4.4,55.5,8.17,"MO_2017"
"Rice_herb",-28.79,8.87,53.18,9.83,"MO_2017"
"Rice_herb",-29.99,7.82,51.22,9.35,"MO_2017"
"Rice_herb",-30.36,7.74,51.98,9,"MO_2017"
"Rice_herb",-30.1,7.16,50.98,8.92,"MO_2017"
"Rice_herb",-29.62,6.89,51.03,9.15,"MO_2017"
"Rice_herb",-28.46,5.33,49.37,7.85,"MC_2017"
"Rice_herb",-29.81,5.47,51.62,7.9,"MC_2017"
"Rice_herb",-27.39,5.46,46.75,8.16,"MC_2017"
"Rice_herb",-31.11,6.26,53.9,7.94,"MC_2017"
"Rice_herb",-29.95,6.1,53.27,8.49,"MC_2017"
"Rice_herb",-31.23,6.49,52.69,8.08,"MC_2017"
"Rice_herb",-31.23,6.48,54.22,8.15,"MC_2017"
"Rice_herb",-29.68,4.85,59.36,7.74,"MC_2017"
"Rice_herb",-30.55,6.65,59.69,7.67,"MC_2017"
"Rice_herb",-30.82,7.1,58.82,7.94,"MC_2017"
"Rice_herb",-28.52,4.37,56.05,8.95,"MC_2017"
"Rice_herb",-28.66,4.25,54.6,8.33,"MC_2017"
"Rice_herb",-27.74,5.51,48.69,10.98,"MC_2017"
"Rice_herb",-26.91,6.56,51.32,10.76,"MC_2017"
"Rice_herb",-21.14,2.8,55.43,8.8,"MC_2017"
"Rice_herb",-31.05,6.21,54.47,8.25,"MC_2017"
"Rice_herb",-28.6,5.12,52.65,9.5,"MC_2017"
"Rice_herb",-28.59,3.7,54.59,8.68,"GO_2017"
"Rice_herb",-27.88,4.12,51.26,10.35,"GO_2017"
"Rice_herb",-28.23,4.48,54.12,9.1,"GO_2017"
"Rice_herb",-28.33,4.53,54.9,9.11,"GO_2017"
"Rice_herb",-30.87,6.48,53.27,8.35,"GO_2017"
"Rice_herb",-30.81,6.27,51.52,8.35,"GO_2017"
"Rice_herb",-28.32,5.28,53.51,9.48,"GO_2017"
"Rice_herb",-29.3,5.27,52.18,9.41,"GO_2017"
"Rice_herb",-28.28,3.93,53.94,9.23,"GO_2017"
"Rice_herb",-29.16,3.59,53.5,9.37,"GC_2017"
"Rice_herb",-28.97,3.84,53.56,9.26,"GC_2017"
"Rice_herb",-28.93,4.67,53.36,9.33,"GC_2017"
"Rice_herb",-29.66,4.04,52.7,9.28,"GC_2017"
"Rice_herb",-30.01,6.62,56.22,7.47,"GC_2017"
"Rice_herb",-28.12,5.69,50.57,9.47,"GC_2017"
"Rice_herb",-27.92,3.4,50.57,11.08,"OO_2017"
"Rice_herb",-29.17,5.05,49.95,10.98,"OO_2017"
"Rice_herb",-29.35,5.42,46.09,10.16,"OO_2017"
"Rice_herb",-20.12,7.55,51.51,10.34,"OO_2017"
"Rice_herb",-28.99,5.09,53.99,8.44,"OO_2017"
"Rice_herb",-28.37,5.42,52.09,9.56,"OO_2017"
"Rice_herb",-28.69,8.08,53.08,10.32,"OC_2017"
"Rice_herb",-27.85,6.48,52.52,10.47,"OC_2017"
"Rice_herb",-28.47,5.5,50.85,10.78,"OC_2017"
"Rice_herb",-28.76,6.16,53.54,9.06,"OC_2017"
"Rice_herb",-27.98,6.19,51.08,9.3,"OC_2017"
"Rice_herb",-28.34,6.95,51.66,9.44,"OC_2017"
"Rice_herb",-26.8524719781575,8.14990974804007,65.9726207761216,12.9554171221335,"MO1_2018"
"Rice_herb",-27.4010750826838,7.6688723941429,50.3135304503535,9.62471747483534,"MO1_2018"
"Rice_herb",-25.4501002469691,9.4617714434725,49.6567780845472,11.0859587849368,"MO1_2018"
"Rice_herb",-28.1684388665808,8.15894261951725,49.3844633443458,9.92418877270591,"MO1_2018"
"Rice_herb",-27.4104993515513,9.23746337878315,50.9131254871143,10.2889017074025,"MO1_2018"
"Rice_herb",-25.3758789117656,7.32203907633484,50.6743620408175,10.2706655495596,"MO1_2018"
"Rice_herb",-17.4740281921662,7.70500075223966,40.7302839351799,5.7347960217472,"MO2_2018"
"Rice_herb",-11.92587391389,4.54310902354647,49.9022999457006,10.5322789692023,"MO2_2018"
"Rice_herb",-26.8294991966929,6.80045762298593,50.798876467463,11.2799628681349,"MO2_2018"
"Rice_herb",-25.2823784656372,7.2052324464432,52.7987316718995,9.69265623062057,"MO2_2018"
"Rice_herb",-22.215246672509,7.14663765392137,47.6647083725912,9.38341658277274,"MO2_2018"
"Rice_herb",-11.6120823527166,4.0488684940253,47.2587858981728,10.9057685783624,"MO3_2018"
"Rice_herb",-30.6707320700529,12.5785149579255,48.1038555692774,9.21993538620097,"MO3_2018"
"Rice_herb",-14.2651088141977,10.6286741721735,51.9068942417716,10.2006669440676,"MO3_2018"
"Rice_herb",-17.5276326575406,7.5048393150254,49.4930877156184,9.38383844198277,"MO3_2018"
"Rice_herb",-28.2533280514707,5.35349063367155,50.9260820882606,9.92651263043549,"MC1_2018"
"Rice_herb",-27.7419951360671,5.42929818409469,50.9429826105569,10.3416593664801,"MC1_2018"
"Rice_herb",-28.2948236871511,3.74552040015769,51.5428102230111,10.4505182936206,"MC1_2018"
"Rice_herb",-27.9928452322116,4.03757885262078,51.9555798561501,10.3098006064999,"MC1_2018"
"Rice_herb",-27.3365085604412,6.90627979945694,51.00701974429,10.0180386962928,"MC1_2018"
"Rice_herb",-28.0551900667419,7.22644327141677,51.5659516925497,10.5358053284647,"MC1_2018"
"Rice_herb",-20.2233563958029,8.01557944557719,51.6845695371533,10.5216765887633,"LO1_2018"
"Rice_herb",-25.9034722873209,4.86813611940984,53.3474632248362,9.58527820893819,"LO1_2018"
"Rice_herb",-23.8521395655393,6.11089861534109,52.3512110400015,9.84062195499367,"LO1_2018"
"Rice_herb",-28.912048395159,6.37876676151076,55.5251437547132,8.48241566260453,"LC1_2018"
"Rice_herb",-28.9628170297146,6.83563206524992,50.6011373320087,10.9306502429503,"LC1_2018"
"Rice_herb",-28.7129393147468,2.59651341894947,47.3782573256219,11.3684353560583,"MC2_2018"
"Rice_herb",-13.4320833129241,5.11588520296399,49.5807773595757,10.3303922102185,"MC2_2018"
"Rice_herb",-24.4087665848008,5.94267593676913,49.7056896866891,10.801271421187,"MC2_2018"
"Rice_herb",-28.6718393337865,4.53164870579239,53.5037670110535,9.51198023532799,"MC2_2018"
"Rice_herb",-28.2435951883369,5.6576048925807,52.3111735457838,9.72980204969044,"MC2_2018"
"Rice_herb",-24.841521624148,5.84387399574801,49.9091226894067,10.9309285490876,"MC3_2018"
"Rice_herb",-26.9270982835349,6.87989552542115,51.9824925170739,8.89191864478197,"MC3_2018"
"Rice_herb",-27.2363552594272,5.46810629613257,49.2500745702328,11.2820181880751,"MC3_2018"
"Rice_herb",-28.4934146172044,5.58071208042287,48.0135102047181,11.5596765081481,"MC3_2018"
"Rice_herb",-29.8050461264927,4.74958625821677,53.3615308717766,9.43372698840332,"LO2_2018"
"Rice_herb",-29.2969810430445,4.04251879918313,53.0424264043789,9.66218496019018,"LO2_2018"
"Rice_herb",-29.2924959978893,3.22548608395955,51.4082194991621,10.5379516266812,"LO3_2018"
"Rice_herb",-29.1310522767481,4.62382516038699,49.5664676993863,11.4707982559631,"LO3_2018"
"Rice_herb",-26.854854934487,2.65658542572056,50.6268050054089,10.7984638885665,"LO3_2018"
"Rice_herb",-29.4492422466903,4.18323304631117,54.6931499646184,9.30070325566311,"LC2_2018"
"Rice_herb",-28.9811832861782,3.74243657870642,51.5540683491215,11.1904790910053,"LC2_2018"
"Rice_herb",-29.1638047430496,5.45582792856881,71.7666012409192,12.212121757382,"LC2_2018"
"Rice_herb",-25.7589230436615,6.97932734801211,103.178248829167,24.5107788315761,"LC2_2018"
"Rice_herb",-28.8631226815856,8.67541304831173,50.8207394987753,9.75066369261242,"SO1_2018"
"Rice_herb",-28.074449823433,7.92659445507525,50.8332032400156,9.42806757858462,"SO1_2018"
"Rice_herb",-28.8773399444348,8.40469609339222,51.6711085777832,9.72803279141954,"SO1_2018"
"Rice_herb",-29.238241208706,8.76866867045312,51.7811371618061,9.2541461340309,"SO1_2018"
"Rice_herb",-29.0052862153998,5.04428165025626,49.8504512017975,10.722490530699,"LC3_2018"
"Rice_herb",-29.0709728374364,5.41951047846092,49.1656534554984,10.9678974562691,"LC3_2018"
"Rice_herb",-29.388187302676,5.27254488492367,49.4511938394777,11.0739771317681,"LC3_2018"
"Rice_herb",-27.0624320674746,4.91620154851533,50.736439482668,9.50011519931712,"SC1_2018"
"Rice_herb",-27.7488302008094,7.20258739163067,50.4488940534613,10.7626178215871,"SC1_2018"
"Rice_herb",-29.856722076153,4.07597412288386,49.0621180517927,11.5175408062884,"LC3_2018"
"Rice_herb",-25.6439289547881,6.71161754259317,98.547027911715,18.8071371424881,"SC1_2018"
"Rice_herb",-28.438661863427,5.89013343948948,52.9793470768243,9.11659090106825,"MO1_2018"
"Rice_herb",-28.9076514574664,4.26598568683102,55.9717668402053,7.98948646626886,"MC2_2018"
"Rice_herb",-28.6619492466458,4.5156319852424,54.3893900145167,8.73709105463689,"MC2_2018"
"Rice_herb",-21.0082017666885,4.08722892236695,50.2592665832237,8.19265531104072,"MC2_2018"
"Rice_herb",-28.3801049306625,4.70498344372605,57.2542594698874,7.53000261402731,"MC3_2018"
"Rice_herb",-29.6135229655703,2.94810654719654,52.529659827558,10.126555425144,"MC3_2018"
"Rice_herb",-28.571380771206,5.07471260169749,54.9776508770858,8.24334689033958,"MC3_2018"
"Rice_herb",-28.823264417431,3.61664154799947,56.7111675984315,7.99924100500475,"MC3_2018"
"Rice_herb",-27.8686902847476,2.84171528425178,51.9807225765098,8.30303240025749,"MC3_2018"
"Rice_herb",-29.162361855853,4.85662551705897,57.6462796764202,7.54472811776953,"MC3_2018"
"Rice_herb",-28.8256717848308,3.64707627199557,57.6490679497624,7.52644719294052,"MC1_2018"
"Rice_herb",-28.7185324512295,4.95049594804234,55.606841731386,8.18463164637935,"MC1_2018"
"Rice_herb",-23.7181743047843,6.57646213419377,50.8596830821912,10.9365545786885,"MO3_2018"
"Rice_herb",-28.4005802251081,4.25390453310784,54.0157470900505,9.69006891455518,"MC1_2018"
"Rice_herb",-28.5331488425086,3.98747291824946,54.3914662276666,5.47807721531671,"MC1_2018"
"Rice_herb",-20.0646995536878,3.51505067428251,52.6341232385357,9.89412038546365,"MC1_2018"
"Rice_herb",-28.7413866025895,2.96256168285251,52.6698498415358,9.65596064511341,"MC1_2018"
"Rice_herb",-28.437332642978,3.90904373084749,54.2266166198834,8.88954914770031,"MC1_2018"
"Rice_herb",-25.5644535187561,6.05960776286007,51.307665539966,10.5721469734798,"MO3_2018"
"Rice_herb",-23.1394130558373,5.96930907305794,51.5838523279158,10.4601692471278,"MO3_2018"
"Rice_herb",-25.6689304736724,6.43274191342471,53.069137009594,9.19012758868081,"MO3_2018"
"Rice_herb",-27.9562901926949,5.29155203592994,55.3324607524869,8.65633878031312,"MO3_2018"
"Rice_herb",-13.0765542487159,3.56861997022053,54.4171065524097,6.92341532741047,"MO3_2018"
"Rice_herb",-11.967159273094,4.6709862073024,52.6782235857672,9.69128683179217,"MO3_2018"
"Rice_herb",-23.7673120741687,5.32206665217975,50.6166124204092,11.1040412558024,"MO3_2018"
"Rice_herb",-25.555491054384,6.49830549203444,56.7044807612127,8.42647566107082,"MO3_2018"
"Rice_herb",-24.7180191111421,5.42831341690384,51.801543255389,10.3332478033649,"LO1_2018"
"Rice_herb",-25.9542230675508,7.04420341571616,51.116640923021,10.8757249962523,"MO2_2018"
"Rice_herb",-27.7274646443589,6.56300405734017,52.0748350277407,8.11496375169349,"MO2_2018"
"Rice_herb",-26.3697153073524,7.51264972115801,52.6837732611286,9.06956863184844,"MO2_2018"
"Rice_herb",-28.5586183428946,6.96609045922996,54.2500912799326,8.25633312756802,"MO2_2018"
"Rice_herb",-26.5795545909642,8.40367543071251,52.5535330580345,9.70942205146412,"MO2_2018"
"Rice_herb",-20.0822880064912,4.32222735123678,49.1990592996169,8.6432656451552,"LO1_2018"
"Rice_herb",-25.6070056472475,5.39190459496129,53.6559905072642,9.51296238879182,"LO1_2018"
"Rice_herb",-25.8353722560574,5.60230032209301,53.1328356400818,9.45312197181476,"LO1_2018"
"Rice_herb",-24.141630587046,5.94567527302009,53.1146900505272,9.83663015665623,"LO1_2018"
"Rice_herb",-28.8280374403767,4.75704810622213,53.4088352445059,8.67690271820589,"SO1_2018"
"Rice_herb",-28.8648068230124,5.64212670836529,55.7931289217615,8.4901889667729,"SO1_2018"
"Rice_herb",-28.8527266218294,4.83627125286186,55.4628676339492,8.50413092525799,"LO3_2018"
"Rice_herb",-28.2860412071924,4.67328759240016,51.4819943321157,10.6614340044898,"LO3_2018"
"Rice_herb",-27.9686910196864,5.32412184715244,53.3984064708876,9.3343150799561,"LO3_2018"
"Rice_herb",-28.9965288045919,2.66023901413281,50.2634669878439,10.9129561675519,"LC2_2018"
"Rice_herb",-28.48515343793,5.15979349282705,89.2499833865851,15.2015879521821,"LC2_2018"
"Rice_herb",-28.394375424854,3.8387983740512,52.5435801328085,9.70038399990406,"LC2_2018"
"Rice_herb",-28.8647428868485,4.38850526048465,54.9526895071827,8.76382559742613,"SO1_2018"
"Rice_herb",-24.8842398570608,3.49648950849614,50.7370691854176,10.6469502956839,"SO1_2018"
"Rice_herb",-27.7272105724467,5.5693366363163,54.3709654160729,9.06205967707229,"SO1_2018"
"Rice_herb",-28.5384861107292,2.85658168582349,50.6119041114535,10.8184125716944,"LC3_2018"
"Rice_herb",-28.8234216217913,3.4861268771909,51.944019624164,8.7488649202815,"LC3_2018"
"Rice_herb",-28.0063713907065,3.98810499341379,50.6031249552268,10.1980274490101,"LC3_2018"
"Rice_herb",-28.1182974766252,3.05669954279568,49.0335169001522,10.8768516177558,"LC3_2018"
"Rice_herb",-28.6963499257487,3.79273986172788,52.5123555381224,9.14430915002064,"LC3_2018"
"Rice_herb",-27.7995231895655,3.14675865905053,49.0797491414653,10.5720205943492,"LC3_2018"
"Rice_herb",-28.9525983604815,3.28147190297534,54.7547401396523,8.51048913083589,"LC3_2018"
"Rice_herb",-28.6520992748887,4.2040625479633,51.6821531864517,9.00724490314293,"LC3_2018"
"Rice_herb",-28.6197351419047,5.47713460465727,48.3868365853554,9.85030652126836,"LC3_2018"
"Rice_herb",-28.4751923006499,4.59871208371803,52.2760178124158,8.86499697215495,"LO2_2018"
"Rice_herb",-28.4031362761301,5.25324441246629,51.8018968565747,9.22261171668466,"LO2_2018"
"Rice_herb",-28.5609255448434,4.50414529990592,51.166265862409,9.3141385906192,"LO2_2018"
"Rice_herb",-28.6473123191122,4.02131260860812,52.3827106288943,8.64489164586033,"LO2_2018"
"Rice_herb",-27.9308142347949,4.62450858209717,49.9148290649752,10.346422191061,"LO2_2018"
"Rice_herb",-28.3354294940081,5.30304448615509,49.8209303667385,10.6190773987894,"LO2_2018"
"Rice_herb",-27.8349530369245,3.97054809931621,50.2497884943058,10.4664349920331,"LC1_2018"
"Rice_herb",-27.6077492387108,3.91964646335595,50.5737470481263,8.66454007646663,"LC1_2018"
"Rice_herb",-28.1655987000185,2.62972845611536,51.6806653077811,9.52117628110573,"LC1_2018"
"Rice_herb",-27.7733859460187,2.92171488835945,51.4325199461731,9.73879053531226,"LC1_2018"
"Rice_herb",-28.3111065003482,3.30218512653015,49.8585933148254,10.0662560545333,"LC1_2018"
"Rice_herb",-27.3417622159953,2.86965862859672,50.692953182761,9.86068080595335,"LC1_2018"
"Rice_herb",-27.1335766717793,3.3151767763289,50.0820725433933,10.5011737187111,"LC1_2018"
"Rice_herb",-29.2439489374378,4.86806136586246,53.4000938705781,8.93123902311044,"SC1_2018"
"Rice_herb",-29.4328559050449,5.20208242194035,54.6410469989117,8.4229581161393,"SC1_2018"
"Rice_herb",-29.3245614254862,5.32209259513484,51.7064507529052,9.71572191573805,"SC1_2018"
"Rice_herb",-28.9399596149085,5.8344176400878,52.3589332121706,9.36827820689144,"SC1_2018"
"Rice_herb",-28.6216693470345,6.13757201434498,53.1210160272067,9.20967455285295,"SC1_2018"
"Rice_herb",-27.5394470066639,6.90649231144397,50.9683892932535,8.81004274959751,"MO2_2018"
"Rice_herb",-25.7995147738498,6.7263462894337,49.5010122167002,10.6621579852627,"MO2_2018"
"Rice_herb",-29.2811443165997,7.55587083056869,57.1085050097674,9.27852132361595,"MO1_2018"
"Rice_herb",-27.2738232801681,5.80337755990499,55.9448471732419,8.73615978700489,"MO1_2018"
"Rice_herb",-18.6539054165494,4.5189766573191,55.6131737874385,10.0572332767304,"MO1_2018"
"Rice_herb",-25.047355389667,3.57690922616047,53.7606117885097,10.3585521081367,"MO1_2018"
"Rice_herb",-27.2065021747764,6.71464651699687,39.7834318010037,7.59365501038996,"MO2_2018"
"Rice_herb",-26.3510938796502,4.41729420637188,52.8804027322432,10.3277230840054,"MO2_2018"
"Rice_herb",-27.3650199459893,5.83915065064301,52.4857728651758,10.210729569275,"MO2_2018"
"Rice_herb",-27.4693090384738,6.34199070300907,52.7806917260208,9.68626238382912,"MO2_2018"
"Rice_herb",-26.4512512943243,6.49191557374507,52.2931103672598,10.3275369642138,"MO2_2018"
"Rice_herb",-21.2439417695311,6.38298831501013,54.422919124677,9.79693352725871,"MO3_2018"
"Rice_herb",-21.5935222201151,5.31245690505241,51.9191989243901,9.4953344872969,"MO3_2018"
"Rice_herb",-13.2669102930828,2.60077331057094,54.1909041370791,10.0034756089652,"MO3_2018"
"Rice_herb",-11.4606398536529,6.08324686693104,50.2756344998854,11.0513586660403,"MO3_2018"
"Rice_herb",-13.5648104783017,5.66974388232386,67.1561311921811,15.6182474268533,"MO3_2018"
"Rice_herb",-29.7483842834049,6.56504722621776,55.7838935968034,6.78868378957299,"MO3_2018"
"Rice_herb",-29.0607299934036,4.80117658225217,54.9604639211259,8.69408672047794,"MC1_2018"
"Rice_herb",-28.4147789366534,3.97840558167041,62.4898338160706,13.8593439355485,"MC1_2018"
"Rice_herb",-30.0806688603208,6.29198435082178,54.2672679895009,9.58111664196553,"MC1_2018"
"Rice_herb",-12.2352353879716,3.62466158416048,50.7790960798379,10.8864681927831,"MC1_2018"
"Rice_herb",-17.5199573722869,5.15157490965361,52.4714244759947,10.5969790576836,"MC1_2018"
"Rice_herb",-30.0368356764278,4.71225387000631,52.9003190569536,9.16354095196906,"MC2_2018"
"Rice_herb",-29.187964749057,4.66739869060447,52.1400604800143,9.6817339210282,"MC2_2018"
"Rice_herb",-29.0542051836334,3.79844952903407,45.158412660996,8.6924069769815,"MC2_2018"
"Rice_herb",-28.2473906052827,2.90234894804046,51.9202234996959,10.3036767124541,"MC2_2018"
"Rice_herb",-27.4655082884654,3.36274812923955,34.7520828930425,6.23162418200878,"MC2_2018"
"Rice_herb",-29.3300496565486,7.11657709285338,57.2868610409713,7.24761390985022,"MC3_2018"
"Rice_herb",-28.9757902161039,5.86758217721875,52.108131618946,8.92414970545274,"MC3_2018"
"Rice_herb",-28.3498755716629,4.10344045571728,53.1588591380383,9.34872295562538,"MC3_2018"
"Rice_herb",-29.9860615269355,3.82209567574963,53.3598361735971,9.58651124007354,"MC3_2018"
"Rice_herb",-28.4181703318736,3.03524792204187,52.7214379193378,9.43757510030971,"MC3_2018"
"Rice_herb",-23.8449502311682,4.67291814107283,53.1832846246192,9.4454689132772,"LO1_2018"
"Rice_herb",-30.0388341804507,7.52880890906823,55.9688488069744,7.80973821170095,"LO1_2018"
"Rice_herb",-25.4526771471645,4.89942422984319,54.5269753827854,8.898152839807,"LO1_2018"
"Rice_herb",-29.5791590363829,7.32206209988332,56.2436997808487,8.15289939178489,"LO1_2018"
"Rice_herb",-26.7480858717865,5.22384536575661,51.6831123709533,10.0655363223784,"LO1_2018"
"Rice_herb",-25.841806266369,5.01344646956136,52.0615859546323,9.9121658021931,"LO1_2018"
"Rice_herb",-29.9504951596979,5.27820914107679,56.2130272505107,7.76606022692038,"LO2_2018"
"Rice_herb",-28.827687427563,3.92980848871664,51.9229142095801,10.5483266430891,"LO2_2018"
"Rice_herb",-29.7010969987055,3.39754794787668,53.0472226236982,9.86042479834542,"LO2_2018"
"Rice_herb",-30.255806225428,5.00105637507388,55.0555583270972,7.93010849524021,"LO2_2018"
"Rice_herb",-30.164639354826,5.42072922209297,55.7894613657303,8.1740387973894,"LO3_2018"
"Rice_herb",-28.8281537663817,4.43771852939693,52.5807597421456,9.52109203796595,"LO3_2018"
"Rice_herb",-28.3412719297186,4.36505653953097,51.1004269163114,10.4284387401176,"LO3_2018"
"Rice_herb",-28.8719166754842,4.97704067208402,54.864463287892,9.62530713587385,"LO3_2018"
"Rice_herb",-28.065014683188,2.50611388015979,52.588973966447,9.78928176228232,"LC1_2018"
"Rice_herb",-29.1848043134992,2.76450281514357,53.2583402557446,9.79247373862951,"LC1_2018"
"Rice_herb",-28.6323517685755,3.28646022158965,50.1413065501733,10.1679690368272,"LC1_2018"
"Rice_herb",-28.2573500491489,3.21185862860005,52.179183187778,10.1790429509385,"LC1_2018"
"Rice_herb",-28.6541315545184,4.63304521493485,52.4861632533419,9.92218531837092,"LC2_2018"
"Rice_herb",-29.484083687713,6.43529369624381,55.264288156731,8.40075721081138,"LC2_2018"
"Rice_herb",-28.2627821532676,4.89687450214213,54.1988049077581,9.72969055489454,"LC2_2018"
"Rice_herb",-29.8847963248936,5.25966378172132,48.7753760457695,10.132750106217,"LC3_2018"
"Rice_herb",-28.3381747173395,3.18546990675876,54.9774781535202,9.09612940419504,"LC3_2018"
"Rice_herb",-28.8239519607663,2.8761030632718,53.6707680845945,9.45847348745076,"LC3_2018"
"Rice_herb",-30.3635776952683,5.4680269382825,58.6615899089663,6.5255275384987,"LC3_2018"
"Rice_herb",-29.0879422157883,2.7942319367732,53.1101060384179,8.88791685668696,"LC3_2018"
"Rice_herb",-27.8218281068062,6.6078428260955,52.8418995810319,8.60114103073524,"MO2_2018"
"Rice_herb",-29.858222055162,6.95798725428357,60.3667522500499,6.53646885753006,"MO1_2018"
"Rice_herb",-30.8579520646846,5.45469930233367,54.8652744941273,7.9066966414877,"MC1_2018"
"Rice_herb",-29.0222214948449,6.70319849765786,45.473323386178,10.4546691428919,"SO1_2018"
"Rice_herb",-27.6541128395542,4.68980509536682,49.6542488929382,11.6860311019633,"SO1_2018"
